Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS,,,,,,,,,,,,,,
95,5208140826,nachochopstix,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Jesper Svensson,G,0.12%,4,,,,,,,,,,,,,,
95,5208957175,bck4gators,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Thorbjørn Olesen,G,0.09%,17.5,,,,,,,,,,,,,,
95,5209238280,Three-Amigos,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Hayden Springer,G,0.09%,49,,,,,,,,,,,,,,
95,5209342863,DLP4412,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Kevin Streelman,G,0.09%,16.5,,,,,,,,,,,,,,
95,5209583492,segorman5,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Karl Vilips,G,0.09%,20.5,,,,,,,,,,,,,,
95,5209591744,JERKER19,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Hank Lebioda,G,0.09%,11,,,,,,,,,,,,,,
95,5209712649,rajonrondough,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Patrick Cantlay,G,0.09%,0,,,,,,,,,,,,,,
95,5209746112,kipper12,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Taylor Pendrith,G,0.06%,25.5,,,,,,,,,,,,,,
95,5209776194,fritzruby1,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Matthieu Pavon,G,0.06%,10.5,,,,,,,,,,,,,,
95,5209837206,cinder36,328,172.5,G Cameron Young G Aaron Rai G Doug Ghim G Sungjae Im G Ben Kohles G Jordan L. Smith,,Daniel Berger,G,0.06%,0,,,,,,,,,,,,,,
95,5209785353,jaywalkin,324,172.5,G Justin Thomas G Tom Kim G Aaron Rai G Sungjae Im G Ben Kohles G Denny McCarthy,,Harry Hall,G,0.06%,7,,,,,,,,,,,,,,
113,5209042559,seasonedwarpig,359,172,G Hideki Matsuyama G Tom Kim G Ben Griffin G Doug Ghim G Benjamin James G Seamus Power,,Adrien Dumont De Chassart,G,0.06%,11,,,,,,,,,,,,,,
