Player Name,Slate-Tournament,Headshot,Player ID,Draftable ID,Tournament,Game Start Time,Salary,Fantasy Points,Ownership,Made Cut,MC,Win,Top 5,Top 10,Top 20,Teetime,Course
Denny McCarthy,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/631.png,1018,43352271,Travelers Championship,6/25/2026,6200,70.33,0,0,0,19737.5 (0.01),3366.7 (0.03),1262.5 (0.07),463.0 (0.18),,
Tom Hoge,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/648.png,1760,43352272,Travelers Championship,6/25/2026,6200,66.64,0,0,0,39079.8 (0.00),6416.7 (0.02),2250.0 (0.04),796.0 (0.11),,
Danny Lee,Classic: LIV,https://dkn.gs/sports/images/golf/players/50/604.png,1883,43204230,LIV Golf Andalucia,6/4/2026,6200,16.9,0,0.5,0.5,,,,,,
Michael La Sasso,Classic: LIV,https://dkn.gs/sports/images/countries/50/united_states.png,849089,43204231,LIV Golf Andalucia,6/4/2026,6200,16.9,0,0.5,0.5,,,,,,
Nicolas Echavarria,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/525572.png,703899,43352273,Travelers Championship,6/25/2026,6100,70.08,0,0,0,,,,,,
Brandt Snedeker,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/690.png,400,43352274,Travelers Championship,6/25/2026,6100,67.98,0,0,0,34660.2 (0.00),4666.7 (0.02),1775.0 (0.05),609.0 (0.14),,
Mark Hubbard,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/629.png,2056,43352275,Travelers Championship,6/25/2026,6100,66.14,0,0,0,46928.5 (0.00),7383.3 (0.01),2466.7 (0.04),817.0 (0.11),,
Minkyu Kim,Classic: LIV,https://dkn.gs/sports/images/countries/50/south_korea.png,671052,43204232,LIV Golf Andalucia,6/4/2026,6100,16.7,0,0.5,0.5,,,,,,
Bjorn Hellgren,Classic: LIV,https://dkn.gs/sports/images/countries/50/sweden.png,60263,43204233,LIV Golf Andalucia,6/4/2026,6100,16.7,0,0.5,0.5,,,,,,
Jhonattan Vegas,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/896.png,1478,43352276,Travelers Championship,6/25/2026,6000,65.15,0,0,0,42926.7 (0.00),6400.0 (0.02),2500.0 (0.04),801.0 (0.11),,
Lucas Glover,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/992.png,2158,43352277,Travelers Championship,6/25/2026,6000,67.36,0,0,0,38310.1 (0.00),5883.3 (0.02),2033.3 (0.05),685.0 (0.13),,
Brian Campbell,Classic: Travelers Championship,https://dkn.gs/sports/images/golf/players/50/451096.png,1567,43352278,Travelers Championship,6/25/2026,6000,63.36,0,0,0,90006.0 (0.00),12916.7 (0.01),4433.3 (0.02),1391.0 (0.07),,
