Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
2253,5196832857,zachpals,324,141.5,G Hideki Matsuyama G Doug Ghim G Corey Conners G Christiaan Bezuidenhout G Davis Thompson G Kevin Roy,,,,,
2253,5196859921,Noleroller,324,141.5,G Scottie Scheffler G Ricky Castillo G Max McGreevy G Matti Schmid G Denny McCarthy G Luke List,,,,,
2253,5195260309,Blastman,270,141.5,G Tom Kim G Gary Woodland G Corey Conners G Christiaan Bezuidenhout G Rasmus Neergaard-Petersen G Jason Day,,,,,
2284,5194885739,GrindemUp27,324,141,G Maverick McNealy G Kurt Kitayama G Tom Kim G Casey Jarvis G Zac Blair G Kevin Roy,,,,,
2284,5195010999,bbroom,324,141,G Maverick McNealy G Kurt Kitayama G Sungjae Im G William Mouw G Emiliano Grillo G Tom Hoge,,,,,
2284,5195068841,jvd22,324,141,G Doug Ghim G Corey Conners G Max Homa G Mac Meissner G Benjamin James G Ben Kohles,,,,,
2284,5195113117,BigJ816,324,141,G Hideki Matsuyama G Tom Kim G Jackson Suber G Jordan L. Smith G Rasmus Neergaard-Petersen G Troy Merritt,,,,,
2284,5195166866,dmcp44,324,141,G Hideki Matsuyama G Tom Kim G Jackson Koivun G Jordan L. Smith G Tom Hoge G Aaron Wise,,,,,
2284,5195209463,bostonthetruth,324,141,G Scottie Scheffler G William Mouw G Emiliano Grillo G Ryder Cowan G Erik Van Rooyen G Aaron Wise,,,,,
2284,5195277020,SpacklerCarl,324,141,G Kurt Kitayama G Jake Knapp G Max Homa G Benjamin James G Lucas Glover G Andrew Putnam,,,,,
2284,5195681649,Buford7,324,141,G Hideki Matsuyama G Gary Woodland G Sudarshan Yellamaraju G Christiaan Bezuidenhout G Stephan Jaeger G Brian Harman,,,,,
2284,5195970745,Rc3584,324,141,G Maverick McNealy G Hideki Matsuyama G Mac Meissner G Rasmus Højgaard G Ben Kohles G Ryder Cowan,,,,,
2284,5196169833,Alske215,324,141,G Hideki Matsuyama G Jackson Suber G Corey Conners G Sudarshan Yellamaraju G William Mouw G Emiliano Grillo,,,,,
2284,5196220496,xman253,324,141,G Kurt Kitayama G Hideki Matsuyama G Sungjae Im G Christiaan Bezuidenhout G Denny McCarthy G Seamus Power,,,,,
2284,5196359204,bbills77,324,141,G Maverick McNealy G Jake Knapp G Tom Kim G Jesper Svensson G Adrien Dumont De Chassart G Zac Blair,,,,,
2284,5196565291,sportingkid,324,141,G Kurt Kitayama G Jackson Koivun G Sungjae Im G Sam Stevens G Ricky Castillo G Karl Vilips,,,,,
2284,5196644242,duerrman,324,141,G Maverick McNealy G Keith Mitchell G Michael Brennan G Max Greyserman G Rasmus Neergaard-Petersen G Aldrich Potgieter,,,,,
2284,5196796882,BB4SHR,324,141,G Kurt Kitayama G Gary Woodland G Sam Stevens G Garrick Higgo G David Lipsky G Joel Dahmen,,,,,
2284,5196801145,mikey.goldman,324,141,G Hideki Matsuyama G Jackson Koivun G Sungjae Im G Christiaan Bezuidenhout G Brian Harman G Zac Blair,,,,,
2284,5196810960,tommyjohnsurgery,324,141,G Kurt Kitayama G Jackson Suber G Sam Stevens G Benjamin James G Johnny Keefer G Lucas Glover,,,,,
2284,5196837981,cr720,324,141,G Kurt Kitayama G Jackson Suber G Sam Stevens G Benjamin James G Johnny Keefer G Lucas Glover,,,,,
2284,5196873060,Peterpan14,324,141,G Scottie Scheffler G Jackson Suber G Zachary Bauchou G Zac Blair G Davis Chatfield G Muzzy Donohue,,,,,
2284,5196879490,peytonhamm,324,141,G Scottie Scheffler G Aldrich Potgieter G Lucas Glover G Matt Kuchar G Zac Blair G Joel Dahmen,,,,,
2304,5194657257,joka290,324,140.5,G Hideki Matsuyama G Keith Mitchell G Tom Kim G William Mouw G Emiliano Grillo G Aaron Wise,,,,,
2304,5194672325,blallen,324,140.5,G Kurt Kitayama G Hideki Matsuyama G Max Homa G Emiliano Grillo G Michael Kim G Max McGreevy,,,,,
2304,5194760907,hanzy9983,324,140.5,G Hideki Matsuyama G Gary Woodland G Corey Conners G Max Greyserman G Davis Thompson G Steven Fisk,,,,,
2304,5194808906,gregorywelle,324,140.5,G Keith Mitchell G Jake Knapp G Sungjae Im G Taylor Pendrith G Lee Hodges G Lucas Glover,,,,,
2304,5194843815,HighsideRcn,324,140.5,G Keith Mitchell G Tom Kim G Sungjae Im G Benjamin James G Keita Nakajima G Lucas Glover,,,,,
