HOLE-BY-HOLE DETAIL,,,,,,,,,
"Event: TOUR Championship (401811964) | Success: 30 | Failed: 0 | Updated: 8/31/2026, 6:13:47 AM",,,,,,,,,
,,,,,,,,,
Player,Player ID,Round,Hole,Par,Strokes,Score Type,To Par,Round Score,Round To Par
Wyndham Clark,11119,3,1,4,5,Bogey,+1,67,-3
Wyndham Clark,11119,3,2,3,3,Par,E,67,-3
Wyndham Clark,11119,3,3,4,4,Par,E,67,-3
Wyndham Clark,11119,3,4,4,3,Birdie,-1,67,-3
Wyndham Clark,11119,3,5,4,4,Par,E,67,-3
Wyndham Clark,11119,3,6,5,5,Par,E,67,-3
Wyndham Clark,11119,3,7,4,5,Bogey,+1,67,-3
Wyndham Clark,11119,3,8,4,4,Par,E,67,-3
Wyndham Clark,11119,3,9,3,3,Par,E,67,-3
Wyndham Clark,11119,3,10,4,4,Par,E,67,-3
Wyndham Clark,11119,3,11,3,2,Birdie,-1,67,-3
Wyndham Clark,11119,3,12,4,4,Par,E,67,-3
Wyndham Clark,11119,3,13,4,4,Par,E,67,-3
Wyndham Clark,11119,3,14,4,4,Par,E,67,-3
Wyndham Clark,11119,3,15,3,2,Birdie,-1,67,-3
Wyndham Clark,11119,3,16,4,3,Birdie,-1,67,-3
Wyndham Clark,11119,3,17,4,4,Par,E,67,-3
Wyndham Clark,11119,3,18,5,4,Birdie,-1,67,-3
Wyndham Clark,11119,4,1,4,4,Par,E,72,+2
Wyndham Clark,11119,4,2,3,3,Par,E,72,+2
Wyndham Clark,11119,4,3,4,6,Double Bogey,+2,72,+2
Wyndham Clark,11119,4,4,4,4,Par,E,72,+2
Wyndham Clark,11119,4,5,4,4,Par,E,72,+2
Wyndham Clark,11119,4,6,5,5,Par,E,72,+2
Wyndham Clark,11119,4,7,4,4,Par,E,72,+2
Wyndham Clark,11119,4,8,4,4,Par,E,72,+2
Wyndham Clark,11119,4,9,3,3,Par,E,72,+2
Wyndham Clark,11119,4,10,4,4,Par,E,72,+2
Wyndham Clark,11119,4,11,3,4,Bogey,+1,72,+2
Wyndham Clark,11119,4,12,4,3,Birdie,-1,72,+2
Wyndham Clark,11119,4,13,4,4,Par,E,72,+2
Wyndham Clark,11119,4,14,4,5,Bogey,+1,72,+2
Wyndham Clark,11119,4,15,3,4,Bogey,+1,72,+2
Wyndham Clark,11119,4,16,4,4,Par,E,72,+2
Wyndham Clark,11119,4,17,4,3,Birdie,-1,72,+2
Wyndham Clark,11119,4,18,5,4,Birdie,-1,72,+2
Robert MacIntyre,11378,1,1,4,4,Par,E,67,-3
Robert MacIntyre,11378,1,2,3,3,Par,E,67,-3
Robert MacIntyre,11378,1,3,4,3,Birdie,-1,67,-3
Robert MacIntyre,11378,1,4,4,4,Par,E,67,-3
Robert MacIntyre,11378,1,5,4,4,Par,E,67,-3
Robert MacIntyre,11378,1,6,5,3,Eagle,-2,67,-3
Robert MacIntyre,11378,1,7,4,4,Par,E,67,-3
Robert MacIntyre,11378,1,8,4,4,Par,E,67,-3
Robert MacIntyre,11378,1,9,3,3,Par,E,67,-3
Robert MacIntyre,11378,1,10,4,4,Par,E,67,-3
Robert MacIntyre,11378,1,11,3,3,Par,E,67,-3
Robert MacIntyre,11378,1,12,4,4,Par,E,67,-3
Robert MacIntyre,11378,1,13,4,4,Par,E,67,-3
Robert MacIntyre,11378,1,14,4,4,Par,E,67,-3
Robert MacIntyre,11378,1,15,3,3,Par,E,67,-3
Robert MacIntyre,11378,1,16,4,4,Par,E,67,-3
Robert MacIntyre,11378,1,17,4,4,Par,E,67,-3
Robert MacIntyre,11378,1,18,5,5,Par,E,67,-3
Robert MacIntyre,11378,2,1,4,4,Par,E,76,+6
Robert MacIntyre,11378,2,2,3,3,Par,E,76,+6
Robert MacIntyre,11378,2,3,4,4,Par,E,76,+6
Robert MacIntyre,11378,2,4,4,5,Bogey,+1,76,+6
Robert MacIntyre,11378,2,5,4,4,Par,E,76,+6
Robert MacIntyre,11378,2,6,5,5,Par,E,76,+6
Robert MacIntyre,11378,2,7,4,4,Par,E,76,+6
Robert MacIntyre,11378,2,8,4,4,Par,E,76,+6
Robert MacIntyre,11378,2,9,3,3,Par,E,76,+6
Robert MacIntyre,11378,2,10,4,4,Par,E,76,+6
Robert MacIntyre,11378,2,11,3,3,Par,E,76,+6
Robert MacIntyre,11378,2,12,4,5,Bogey,+1,76,+6
Robert MacIntyre,11378,2,13,4,5,Bogey,+1,76,+6
Robert MacIntyre,11378,2,14,4,5,Bogey,+1,76,+6
Robert MacIntyre,11378,2,15,3,5,Double Bogey,+2,76,+6
Robert MacIntyre,11378,2,16,4,4,Par,E,76,+6
Robert MacIntyre,11378,2,17,4,3,Birdie,-1,76,+6
Robert MacIntyre,11378,2,18,5,6,Bogey,+1,76,+6
